Operating Unit	Country	ISO3	Indicator	Description	Coarse Age	Sex	Modality	2018-T	2018Q1-R	2018Q2-R	2018Q3-R	2018Q4-R	2019-T	2019Q1-R	2019Q2-R	2019Q3-R	2019Q4-R	2020-T	2020Q1-R	2020Q2-R	2020Q3-R	2020Q4-R	2021-T	2021Q1-R	2021Q2-R	2021Q3-R	2021Q4-R	2022-T	2022Q1-R	2022Q2-R	2022Q3-R	2022Q4-R	2023-T	2023Q1-R	2023Q2-R	2023Q3-R	2023Q4-R	2024-T	2024Q1-R	2024Q2-R	2024Q3-R
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	Unknown Age	Male	MobileMod																									1									
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	VCT																					4													
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Active Other																															17			
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	MobileMod																												4						
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	VCTMod																			4	7					3		1			4		1		2
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Active Other																															347			
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	MobileMod																			3	14			1		9	74	4	3	1	3		3	5	3
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	IndexMod																									2	7			1	2				2
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	IndexMod																									8	25	2	7	36	21		16	21	37
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	VCT																					53					22								
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Index																					21					6								
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	VCT																					69					50								
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	MobileMod																			79	73			10		148	177	62	69	94	53		66	57	61
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	Other Facility																															4			
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Index																					4													
Central and South America Region	Peru	PER	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Other Facility																															94			
Central and South America Region	Peru	PER	PP_PREV	People from priority populations who completed an HIV prevention intervention	15+	Female	N/A																				1,211			758		1,689	2,640		208		722	3,539		519	
Central and South America Region	Peru	PER	PP_PREV	People from priority populations who completed an HIV prevention intervention	Unknown Age	Male	N/A																				1					5			1		1			5	
Central and South America Region	Peru	PER	PP_PREV	People from priority populations who completed an HIV prevention intervention	<15	Unknown Sex	N/A																				2					3	30		1			40			
Central and South America Region	Peru	PER	PP_PREV	People from priority populations who completed an HIV prevention intervention	Unknown Age	Female	N/A																									3									
Central and South America Region	Peru	PER	PP_PREV	People from priority populations who completed an HIV prevention intervention	15+	Male	N/A																				1,047			321		3,683	3,052		1,761		2,851	4,121		3,165	
Central and South America Region	Peru	PER	PrEP_CT	People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period	15+	Male	N/A																																15	52	91
Central and South America Region	Peru	PER	PrEP_CT	People that returned for a follow-up or re-initiation visit to receive PrEP during the reporting period	15+	Female	N/A																																	5	4
Central and South America Region	Peru	PER	PrEP_NEW	People newly enrolled on pre-exposure prophylaxis to prevent HIV infection	15+	Male	N/A																															274	63	85	119
Central and South America Region	Peru	PER	PrEP_NEW	People newly enrolled on pre-exposure prophylaxis to prevent HIV infection	15+	Female	N/A																															26	5	4	11
Central and South America Region	Peru	PER	TX_CURR	People currently receiving antiretroviral therapy (ART)	15+	Male	N/A																			64	159	289	186	331		504	441	549	922	1,372	1,564	1,376	1,597	1,654	1,862
Central and South America Region	Peru	PER	TX_CURR	People currently receiving antiretroviral therapy (ART)	<15	Unknown Sex	N/A																					28					10				1		1	1	
Central and South America Region	Peru	PER	TX_CURR	People currently receiving antiretroviral therapy (ART)	Unknown Age	Female	N/A																									1									
Central and South America Region	Peru	PER	TX_CURR	People currently receiving antiretroviral therapy (ART)	15+	Female	N/A																			5	14	219	17	23		48	195	47	93	162	187	124	189	196	207
Central and South America Region	Peru	PER	TX_CURR	People currently receiving antiretroviral therapy (ART)	Unknown Age	Male	N/A																									1		3	6						
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_less_three_mo	People currently receiving ART who picked up 3 months or less of ARV	15+	Male	N/A																			52	144		186	111		161		174	268	431	489		619	584	583
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_less_three_mo	People currently receiving ART who picked up 3 months or less of ARV	Unknown Age	Female	N/A																									1									
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_less_three_mo	People currently receiving ART who picked up 3 months or less of ARV	<15	Unknown Sex	N/A																																1	1	
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_less_three_mo	People currently receiving ART who picked up 3 months or less of ARV	15+	Female	N/A																			5	14		17	7		18		22	26	54	73		72	69	66
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_less_three_mo	People currently receiving ART who picked up 3 months or less of ARV	Unknown Age	Male	N/A																											1	3						
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_six_more_mo	People currently receiving ART who picked up an ARV supply of 6 months or more	15+	Male	N/A																									5		9	11	58	54		26	34	48
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_six_more_mo	People currently receiving ART who picked up an ARV supply of 6 months or more	15+	Female	N/A																											1		3	2		4	5	3
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_three_five_mo	People currently receiving ART who picked up a 3-5 month supply of ARV	15+	Female	N/A																				1			16		30		24	67	105	112		113	122	138
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_three_five_mo	People currently receiving ART who picked up a 3-5 month supply of ARV	15+	Male	N/A																			12	14			220		338		366	643	883	1,022		952	1,036	1,231
Central and South America Region	Peru	PER	TX_CURR_ARVDisp_three_five_mo	People currently receiving ART who picked up a 3-5 month supply of ARV	Unknown Age	Male	N/A																									1		2	3						
Central and South America Region	Peru	PER	TX_NET_NEW	Net increase or decrease in patients receiving antiretroviral therapy (ART)	Unknown Age	Female	N/A																									1		-1							
Central and South America Region	Peru	PER	TX_NET_NEW	Net increase or decrease in patients receiving antiretroviral therapy (ART)	15+	Female	N/A																			5	9		3	6	-23	48		-1	46	69	25		2	7	11
Central and South America Region	Peru	PER	TX_NET_NEW	Net increase or decrease in patients receiving antiretroviral therapy (ART)	Unknown Age	Male	N/A																									1		2	3	-6					
Central and South America Region	Peru	PER	TX_NET_NEW	Net increase or decrease in patients receiving antiretroviral therapy (ART)	15+	Male	N/A																			64	95		27	145	-331	504		45	373	450	192		33	57	208
Central and South America Region	Peru	PER	TX_NET_NEW	Net increase or decrease in patients receiving antiretroviral therapy (ART)	<15	Unknown Sex	N/A																														1		0	0	-1
Central and South America Region	Peru	PER	TX_NEW	People newly enrolled on antiretroviral therapy	Unknown Age	Male	N/A																											2	2						
Central and South America Region	Peru	PER	TX_NEW	People newly enrolled on antiretroviral therapy	<15	Unknown Sex	N/A																					4													
Central and South America Region	Peru	PER	TX_NEW	People newly enrolled on antiretroviral therapy	15+	Male	N/A																			64	95	49	27	36		140	159	52	91	117	102	478	96	99	112
Central and South America Region	Peru	PER	TX_NEW	People newly enrolled on antiretroviral therapy	15+	Female	N/A																			5	9	37	3	8		17	81	6	6	14	15	22	12	14	10
Central and South America Region	Peru	PER	TX_PVLS	ART patients with suppressed VL results (<1,000 copies/ml) in the past 12 months	15+	Male	N/A																				6	259	58	118		281	327	337	625	1,014	1,252	1,114	1,085	1,242	1,356
Central and South America Region	Peru	PER	TX_PVLS	ART patients with suppressed VL results (<1,000 copies/ml) in the past 12 months	15+	Female	N/A																				2	197	4	8		24	254	37	63	107	129	102	108	136	155
Central and South America Region	Peru	PER	TX_PVLS	ART patients with suppressed VL results (<1,000 copies/ml) in the past 12 months	Unknown Age	Male	N/A																									1		1	2						
Central and South America Region	Peru	PER	TX_PVLS	ART patients with suppressed VL results (<1,000 copies/ml) in the past 12 months	<15	Unknown Sex	N/A																					28												1	
Cote d'Ivoire	Cote d'Ivoire	CIV	AGYW_PREV	DREAMS beneficiaries that have completed any DREAMS service	15+	Female	N/A								5,660		9,874			3,874		10,676			9,417		36,079	29,730		25,371		47,377	30,770		16,539		45,192	47,685		52,787	
Cote d'Ivoire	Cote d'Ivoire	CIV	AGYW_PREV	DREAMS beneficiaries that have completed any DREAMS service	<15	Unknown Sex	N/A								6,166		15,088			9,107		17,526			9,098		31,244	13,031		18,237		26,395	11,930		9,704		20,917	9,034		16,943	
Cote d'Ivoire	Cote d'Ivoire	CIV	GEND_GBV	People receiving post-gender based violence care	<15	Unknown Sex	N/A	1				416	320				166					333			144		302			259		330			281		317			293	
Cote d'Ivoire	Cote d'Ivoire	CIV	GEND_GBV	People receiving post-gender based violence care	15+	Female	N/A	2				601	436				247					416			231		333			522		960			723		844			513	
Cote d'Ivoire	Cote d'Ivoire	CIV	GEND_GBV	People receiving post-gender based violence care	15+	Male	N/A					106	6				84					160			47		48			70		173			93		142			166	
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Female	IndexMod																		8																
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	IndexMod							2,916	3,316	2,577	3,625	21,825	1,357	1,454	2,494	2,236	43,457	2,615	2,216	2,274	2,308	6,486	2,201	2,774	3,342	2,990	9,687	1,882	2,700	2,869	3,811		2,653	2,730	2,721
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	Index							8,210	11,030	4,876	4,047	53,211	2,952	4,397	3,981	5,045	162,188	5,837	7,136	6,284	5,332	14,833	4,309	5,200	5,409	5,317	28,242	4,108	4,717	4,192	4,607		3,817	4,669	4,380
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	IndexMod							2,253	2,570	981	1,704	7,977	1,408	2,229	2,625	1,667	35,398	2,213	2,062	1,901	3,005	69,190	2,888	4,895	6,258	4,428	6,079	1,801	3,730	3,652	4,449		3,399	3,862	2,821
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	IndexMod							3,253	4,076	2,546	3,666	8,637	1,442	1,593	3,552	3,374	9,701	3,313	3,195	3,117	3,171	14,406	3,045	4,066	4,363	3,932	14,298	2,809	4,137	4,540	6,514		4,558	5,237	5,161
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	Active Index																															11,112			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	Active Index																															41,580			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	Active Index																															82,275			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	Index							11,270	15,422	6,748	5,571	21,038	4,354	6,074	6,046	7,003	49,228	8,429	10,284	8,655	7,240	31,733	5,822	7,578	8,220	8,147	44,126	5,920	7,083	6,267	7,391		5,571	7,554	7,174
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	Index							18,355	22,022	10,408	8,923	20,226	6,057	7,430	6,023	6,791	239,386	8,222	10,385	8,564	7,358	172,600	6,011	8,181	9,412	8,829	7,894	6,593	6,823	5,706	6,438		4,874	5,820	5,434
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	15+	Female	Index							1,144	818	379	169		212	191	199	345		404	657	410	293		310	392	325	356		274	452	443	391		334	418	400
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	<15	Unknown Sex	Index							596	602	241	55		135	105	58	84		75	189	74	78		52	54	54	46		52	77	45	56		79	46	58
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	15+	Male	Index							1,305	888	354	160		228	236	258	382		374	735	497	400		360	401	407	388		362	550	478	490		391	459	485
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	<15	Unknown Sex	Index							19,709	23,635	10,954	10,382	26,800	7,191	9,390	8,439	8,202	269,728	10,165	12,068	10,261	10,139	237,440	8,356	12,415	14,385	12,763	12,956	7,787	10,231	9,079	10,699	81,587	8,047	9,435	7,989
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	15+	Female	Index							7,597	10,294	6,025	6,307	56,317	3,117	4,168	4,767	5,123	173,313	6,183	6,826	6,630	6,029	18,127	5,084	6,389	7,257	6,907	32,331	4,849	5,825	5,731	7,040	8,151	5,357	6,167	5,942
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	Unknown Age	Female	Index																		8																
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	15+	Male	Index							11,244	15,976	8,190	8,281	22,222	4,901	6,486	8,198	8,692	50,428	10,005	11,424	10,215	9,192	39,224	7,728	10,331	11,326	11,012	53,370	7,753	9,867	9,611	12,747	37,493	9,143	11,641	11,271
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	<15	Unknown Sex	Index							303	355	194	190	1,403	139	164	151	172	5,056	195	190	130	146	4,350	150	148	124	122	1,017	109	157	125	99	688	92	97	92
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	15+	Female	Index							2,385	3,234	1,049	1,196	18,719	980	1,492	1,509	1,813	32,332	1,865	1,869	1,518	1,318	3,192	1,116	1,193	1,169	1,044	5,598	867	1,140	887	987	2,961	779	814	759
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	15+	Male	Index							1,974	2,634	750	796	7,453	667	945	1,142	1,303	8,501	1,363	1,320	1,060	819	6,915	779	912	850	679	5,054	614	803	718	668	4,087	595	691	579
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	MobileMod																																	908	
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	PMTCT ANC																	33																	
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	Unknown Age	Male	MobileMod																																	6	
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	MobileMod																																	678	
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	Unknown Age	Female	MobileMod																																	15	
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_SELF	Individual HIV self-test kits distributed	15+	Female	N/A						5,513	52	113	640	1,352		364	905	4,138	2,716	2,143	2,114	3,007	2,702	2,563	6,193	1,801	3,289	3,868	2,687	12,349	2,637	5,059	7,107	5,561	178,283	8,406	19,073	13,853
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_SELF	Individual HIV self-test kits distributed	Unknown Age	Unknown Sex	N/A											20,818																							
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_SELF	Individual HIV self-test kits distributed	<15	Unknown Sex	N/A									6	19		6	16	9	7	21	57	92	64	30	1,288	12	46	30	11	1,315	27	74	39	61		22	29	46
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_SELF	Individual HIV self-test kits distributed	15+	Male	N/A					67	34,930	1,040	710	2,357	2,359		695	1,434	5,117	2,746	6,433	1,505	2,337	2,130	2,142	8,044	1,607	3,339	2,996	1,608	9,978	2,042	4,469	5,132	4,723	131,411	13,333	22,144	15,926
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	SNSMod																							183	553	116	5,572	132	43	27	228		6	35	62
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	TBClinic	3,580	3,028	3,285	3,157	3,946	9,612	2,455	2,536	2,302	2,044	9,846	2,026	2,245	1,694	1,846	9,044	1,955	1,919	2,007	2,101	8,260	2,525	2,818	2,624	2,509	8,188	2,441	2,928	2,352	2,406	8,510	1,931	2,070	1,920
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	SNS																												2	4			4	29	70
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	MobileMod	131,828	14,001	18,555	22,877	31,680	35,620	16,356	15,186	5,188	1,745	5,202	673	5,414	5,325	6,103	12,288	4,777	4,918	5,405	5,664	85,338	6,640	8,468	9,581	13,587	42,750	10,138	11,109	12,286	17,182		16,201	19,384	22,184
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Index			4																															
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	IndexMod	26,120	1,645	4,554	2,745	5,429	8,666	2,891	3,245	2,569	3,617	21,825	1,357	1,451	2,488	2,233	43,457	2,612	2,206	2,266	2,304	6,486	2,193	2,759	3,321	2,972	9,687	1,880	2,675	2,851	3,788		2,614	2,692	2,687
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Active SNS																															1,208			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	PMTCT ANC	31,957	554	667	730	593	1,967	651	685	480	575	1,352	476	373	299	308	2,246	287	300	212	227	971	299	240	280	236	988	355	270	231	241	1,015	323	234	218
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Emergency Ward		15	541	1,067	1,024	7,294	1,394	1,899	1,479	959	638	1,043	590	399	321	12	511	604	599	706	345	427	555	643	389	2,984	370	487	453	667		588	608	742
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	TBClinic	9,024	1,906	1,961	1,984	2,544	6,154	1,165	1,314	1,159	1,023	5,301	980	1,066	831	854	9,670	831	788	878	925	3,792	1,232	1,202	1,133	1,071	3,812	1,109	1,253	1,215	1,083	4,139	869	844	865
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Active SNS																															1,153			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	MobileMod	26,558	54	28	27	193	4,279	333	227					18	197	161	37	217	290	167	233	20	103	260	716	2,801	20,232	350	624	201	525		150	118	292
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Active Index																															11,112			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	IndexMod																		8																
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	VCTMod		149	267	190	208		344	241	241	98			132	10			2		121	103				1			10							
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	VCTMod		140	187	127	85		251	173	162	64			4	5			1		92	110							8							
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	STI Clinic		22	41	29	39		91	101	72	62		102	48	37	29		19	45	52	51	4	48	51	36	49	393	49	109	44	39		27	24	31
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	STI Clinic		734	1,510	2,221	2,591	29,492	3,444	4,185	3,790	2,636	24,956	2,082	2,250	1,984	2,005	4,201	1,371	1,793	2,163	1,902	1,036	2,028	2,242	2,319	1,869	722	2,084	2,072	1,699	2,125	2,001	1,905	1,617	1,462
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	MobileMod																														10		2		
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT Post ANC1 Breastfeeding																																7,043	6,419	7,044
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PrEP CT																															15,292			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	MobileMod																														1				
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	OtherMod	4	82	5,450	459	3,617	18,434	1,504	1,191	3,410	2,990		749	754	681	376		157	106	153	330		444	925	1,129	565		80	325	516	494		383	617	343
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	PMTCT Post ANC1 Pregnant/L&D																																37	16	30
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Inpat	32,724	3,791	4,249	3,998	4,975	71,194	4,655	5,382	4,728	3,958	9,715	2,637	2,699	2,170	2,209	15,640	2,400	2,755	2,728	2,661	5,067	2,561	2,823	2,871	2,971	11,426	2,945	2,753	2,400	2,540		2,451	2,704	2,700
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Other PITC	618,531	68,415	67,802	79,905	94,925	383,642	104,880	117,931	101,292	80,568	87,261	51,819	52,098	41,372	38,129	128,642	31,963	36,521	35,440	39,574	99,175	36,608	39,446	38,163	38,584	141,201	36,908	42,330	40,388	44,453		44,112	43,214	48,288
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	VCT	4,216			27	3													36																
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT ANC	292,911	173,301	184,395	168,213	166,430	620,370	184,849	175,494	149,331	146,176	453,488	130,948	133,569	113,608	108,947	240,446	98,361	95,187	83,940	87,333	332,769	97,423	93,478	85,575	88,681	340,986	100,482	93,123	74,246	80,766	351,161	91,257	88,051	79,875
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Inpat			1																															
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Malnutrition	10,755	534	503	713	879	29,200	1,032	1,125	1,161	837	7,400	509	507	664	614	3,385	491	366	514	505	836	510	617	746	594	947	618	502	650	806		592	591	853
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Index	42,637	3,041	4,960	4,696	9,240	55,968	9,984	14,561	6,407	5,415	21,038	4,126	5,844	5,795	6,622	49,228	8,059	9,552	8,164	6,851	31,733	5,467	7,199	7,835	7,788	44,126	5,564	6,561	5,826	6,958		5,223	7,159	6,737
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Other PITC																													1					
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	OtherMod	12	80	4,869	1,727	11,665	17,077	7,411	9,288	924	401		47	97	452	222		87	515	526	712		588	1,542	2,024	2,718		1,203	2,027	1,916	2,192		2,246	3,458	2,412
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Active Index																															82,275			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Active Other																															100			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Active Other																															45,195			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT Post ANC1 Pregnant/L&D																																9,779	10,407	9,513
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Active Other																															51,630			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	SNSMod																						1	2	184	274	3,420	187	22	2	12		11	48	99
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	MobileMod	124,016	16,176	23,298	24,497	33,545	28,528	20,734	19,769	8,536	2,802	14,108	1,833	8,946	7,889	7,463	39,846	7,739	8,150	7,624	9,572	15,287	9,630	13,501	14,135	18,272	43,934	13,547	16,445	15,504	17,004		17,398	23,902	25,000
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	VCTMod													60						4			1					36							
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Active Index																															41,580			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	STI Clinic		280	740	1,075	1,297	37,520	1,691	2,069	1,867	1,297	9,634	1,211	1,324	1,096	1,171	1,100	753	1,006	1,019	1,010	462	936	1,095	953	950	603	851	1,098	785	901	5,819	845	894	796
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Inpat	19,838	2,802	2,606	3,437	3,327	52,714	3,632	3,343	3,466	2,966	3,129	2,291	2,113	2,184	1,999	14,637	2,321	2,915	3,080	2,911	2,948	3,347	3,006	5,047	4,621	4,755	4,436	3,180	4,508	6,330		4,550	3,607	6,014
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	IndexMod	32,093	1,268	4,487	3,730	5,956	10,849	3,234	4,049	2,533	3,662	8,637	1,442	1,587	3,545	3,373	9,701	3,309	3,192	3,111	3,160	14,406	3,040	4,044	4,341	3,903	14,298	2,803	4,109	4,503	6,457		4,515	5,173	5,113
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	PMTCT ANC	5																																	
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Male	PrEP CT																															3,440			
Cote d'Ivoire	Cote d'Ivoire	CIV	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Index	103,953	2,520	3,946	3,619	6,015	43,648	7,091	10,283	4,505	3,886	53,211	2,740	4,209	3,788	4,703	162,188	5,436	6,489	5,882	5,043	14,833	4,007	4,823	5,105	4,979	28,242	3,836	4,290	3,767	4,239		3,522	4,289	4,014
